Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,61.8875,-160.025,0.0,bottom
C1,55.6775,-157.485,0.0,bottom
C10,52.8075,-161.425,0.0,bottom
C11,52.8075,-163.395,0.0,bottom
C12,52.8075,-165.365,0.0,bottom
C2,55.6775,-159.455,0.0,bottom
C3,55.6775,-161.425,0.0,bottom
C4,55.6775,-163.395,0.0,bottom
C5,37.1875,-183.775,0.0,bottom
C6,55.6775,-165.365,0.0,bottom
C7,55.6775,-167.335,0.0,bottom
C8,52.8075,-157.485,0.0,bottom
C9,52.8075,-159.455,0.0,bottom
D1,25.4,-22.86,90.0,bottom
D10,206.375,-22.86,90.0,bottom
D11,225.425,-22.86,90.0,bottom
D12,244.475,-22.86,90.0,bottom
D13,263.525,-22.86,90.0,bottom
D14,287.3375,-22.86,90.0,bottom
D15,25.4,-46.6725,90.0,bottom
D16,44.45,-46.6725,90.0,bottom
D17,63.5,-46.6725,90.0,bottom
D18,82.55,-46.6725,90.0,bottom
D19,101.6,-46.6725,90.0,bottom
D2,49.2125,-22.86,90.0,bottom
D20,120.65,-46.6725,90.0,bottom
D21,139.7,-46.6725,90.0,bottom
D22,158.75,-46.6725,90.0,bottom
D23,177.8,-46.6725,90.0,bottom
D24,196.85,-46.6725,90.0,bottom
D25,215.9,-46.6725,90.0,bottom
D26,234.95,-46.6725,90.0,bottom
D27,254.0,-46.6725,90.0,bottom
D28,282.575,-46.6725,90.0,bottom
D29,311.15,-46.6725,90.0,bottom
D3,68.2625,-22.86,90.0,bottom
D30,30.1625,-65.7225,90.0,bottom
D31,53.975,-65.7225,90.0,bottom
D32,73.025,-65.7225,90.0,bottom
D33,92.075,-65.7225,90.0,bottom
D34,111.125,-65.7225,90.0,bottom
D35,130.175,-65.7225,90.0,bottom
D36,149.225,-65.7225,90.0,bottom
D37,168.275,-65.7225,90.0,bottom
D38,187.325,-65.7225,90.0,bottom
D39,206.375,-65.7225,90.0,bottom
D4,87.3125,-22.86,90.0,bottom
D40,225.425,-65.7225,90.0,bottom
D41,244.475,-65.7225,90.0,bottom
D42,263.525,-65.7225,90.0,bottom
D43,287.3375,-65.7225,90.0,bottom
D44,311.15,-65.7225,90.0,bottom
D45,32.54375,-84.7725,90.0,bottom
D46,58.7375,-84.7725,90.0,bottom
D47,77.7875,-84.7725,90.0,bottom
D48,96.8375,-84.7725,90.0,bottom
D49,115.8875,-84.7725,90.0,bottom
D5,106.3625,-22.86,90.0,bottom
D50,134.9375,-84.7725,90.0,bottom
D51,153.9875,-84.7725,90.0,bottom
D52,173.0375,-84.7725,90.0,bottom
D53,192.0875,-84.7725,90.0,bottom
D54,211.1375,-84.7725,90.0,bottom
D55,230.1875,-84.7725,90.0,bottom
D56,249.2375,-84.7725,90.0,bottom
D57,280.19375,-84.7725,90.0,bottom
D58,311.15,-84.7725,90.0,bottom
D59,27.78125,-103.8225,90.0,bottom
D6,125.4125,-22.86,90.0,bottom
D60,49.2125,-103.8225,90.0,bottom
D61,68.2625,-103.8225,90.0,bottom
D62,87.3125,-103.8225,90.0,bottom
D63,106.3625,-103.8225,90.0,bottom
D64,125.4125,-103.8225,90.0,bottom
D65,144.4625,-103.8225,90.0,bottom
D66,163.5125,-103.8225,90.0,bottom
D67,182.5625,-103.8225,90.0,bottom
D68,201.6125,-103.8225,90.0,bottom
D69,220.6625,-103.8225,90.0,bottom
D7,144.4625,-22.86,90.0,bottom
D70,239.7125,-103.8225,90.0,bottom
D71,265.90625,-103.8225,90.0,bottom
D72,292.1,-103.8225,90.0,bottom
D73,311.15,-103.8225,90.0,bottom
D74,27.78125,-122.8725,90.0,bottom
D75,51.59375,-122.8725,90.0,bottom
D76,75.40625,-122.8725,90.0,bottom
D77,146.84375,-122.8725,90.0,bottom
D78,215.9,-122.8725,90.0,bottom
D79,234.95,-122.8725,90.0,bottom
D8,168.275,-22.86,90.0,bottom
D80,254.0,-122.8725,90.0,bottom
D81,273.05,-122.8725,90.0,bottom
D82,292.1,-122.8725,90.0,bottom
D83,311.15,-122.8725,90.0,bottom
D9,187.325,-22.86,90.0,bottom
F1,50.3675,-185.685,0.0,bottom
J1,57.5975,-181.875,0.0,bottom
J2,45.5275,-162.295,0.0,bottom
J3,68.9875,-158.825,0.0,bottom
MX1,22.225,-22.225,0.0,bottom
MX10,203.2,-22.225,0.0,bottom
MX11,222.25,-22.225,0.0,bottom
MX12,241.3,-22.225,0.0,bottom
MX13,260.35,-22.225,0.0,bottom
MX14,284.1625,-22.225,0.0,bottom
MX15,22.225,-46.0375,0.0,bottom
MX16,41.275,-46.0375,0.0,bottom
MX17,60.325,-46.0375,0.0,bottom
MX18,79.375,-46.0375,0.0,bottom
MX19,98.425,-46.0375,0.0,bottom
MX2,46.0375,-22.225,0.0,bottom
MX20,117.475,-46.0375,0.0,bottom
MX21,136.525,-46.0375,0.0,bottom
MX22,155.575,-46.0375,0.0,bottom
MX23,174.625,-46.0375,0.0,bottom
MX24,193.675,-46.0375,0.0,bottom
MX25,212.725,-46.0375,0.0,bottom
MX26,231.775,-46.0375,0.0,bottom
MX27,250.825,-46.0375,0.0,bottom
MX28,279.4,-46.0375,0.0,bottom
MX29,307.975,-46.0375,0.0,bottom
MX3,65.0875,-22.225,0.0,bottom
MX30,26.9875,-65.0875,0.0,bottom
MX31,50.8,-65.0875,0.0,bottom
